Bois	JIL	MessagePack	NET	NetJson	NewtonSoftJson	ServiceStack
1026	656	968	0	0	872	1480
3853	4090	3713	0	0	8605	7900
7589	6646	9317	0	0	13643	21029
14697	13370	15401	0	0	27249	40109
28216	27038	31697	0	0	55039	89761
54413	38426	51605	0	0	89775	125949
62428	52587	64252	0	0	109800	165060
81451	63282	86698	0	0	139321	224412
95989	80154	100642	0	0	184487	239188
105319	82070	112819	0	0	189725	279375
123757	95067	130519	0	0	218580	319512
139639	106877	147800	0	0	244868	360563
155275	119950	165651	0	0	274094	401066
